__run_id,cpu_governor,load_type,load_level,experimental_condition,total_application_energy,total_machine_energy,DRAM_ENERGY (J),PACKAGE_ENERGY (J),media_service_energy_joules,home_timeline_service_energy_joules,compose_post_service_energy_joules,throughput,latency_p50,latency_p90,latency_p95,latency_p99,run_time,cpu_usage_mean,cpu_freq_mean,memory_utilization,USED_MEMORY,TOTAL_MEMORY
run_1_repetition_11,performance,media,medium,performance_media_medium,137.97,6070.169372558565,1795.038330078125,4275.13104248044,5,34.19,98.78,0.00641092583842428,140,220,260,280,120.78022813796996,20.36773883261957,2887,0.08463797720791676,34221362387.570248,404326326272
run_34_repetition_4,ondemand,compose_post,medium,ondemand_compose_post_medium,335.86,6537.392517089815,1665.7224731445312,4871.670043945283,8.14,73.62,254.1,0.00376368362809547,280,400,410,560,120.67641854286194,35.58192978840906,1276.375,0.08514958725456374,34428219798.214874,404326326272
run_48_repetition_1,schedutil,home_timeline,low,schedutil_home_timeline_low,34.89,3224.552062988303,480.0299682617115,2744.5220947265916,0,34.89,0,0.07445722977934778,13,17,17,18,120.57057547569276,6.8969117070525146,1874.53125,0.08516193650127186,34433212923.76859,404326326272
run_8_repetition_2,performance,compose_post,high,performance_compose_post_high,279.25,7444.937255859375,2167.625732421875,5277.3115234375,9.73,57.32,212.2,0.00181840755244404,350,1300,1700,2300,120.564377784729,29.69767427244339,2828,0.08516967698787646,34436342606.28099,404326326272
run_15_repetition_1,powersave,compose_post,low,powersave_compose_post_low,433.11,5000.952209472685,1388.2376708984375,3612.714538574248,11.28,102.77,319.06,0.00703566010352003,130,170,200,200,121.36775922775269,55.327605334125835,799.78125,0.08532997310741543,34501154547.409836,404326326272
run_48_repetition_0,schedutil,home_timeline,low,schedutil_home_timeline_low,37.88,3213.7815551757812,470.05657958984375,2743.7249755859375,0,37.88,0,0.07392959701794771,14,17,17,18,120.56979584693909,6.988628050574092,1910.65625,0.08539069503166774,34525706019.96694,404326326272
run_9_repetition_2,powersave,media,low,powersave_media_low,411.92,4865.0562133789135,1404.7475585937573,3460.308654785156,10.83,94.53,306.56,0.0837522381630828,11,17,18,25,121.36463904380798,42.853096359943756,799.59375,0.08579446416918177,34688960512,404326326272
run_22_repetition_5,userspace,home_timeline,medium,userspace_home_timeline_medium,39.39,3097.3654174804688,452.7405395507813,2644.6248779296875,0,39.39,0,0.01395999162479535,69,87,110,130,121.55767822265624,9.09563401171968,799.5625,0.08637740820313906,34924660131.672134,404326326272
run_19_repetition_10,userspace,media,medium,userspace_media_medium,332.79999999999995,4673.980346679684,1325.75048828125,3348.229858398434,11.1,95.6,226.1,0.00716768052252756,130,210,240,290,121.5968210697174,47.66554906500166,799.78125,0.0867477307629182,35074391291.803276,404326326272
run_48_repetition_4,schedutil,home_timeline,low,schedutil_home_timeline_low,36.76,3243.4183349609375,481.4078369140625,2762.010498046875,0,36.73,0.03,0.07390570172558887,14,17,17,18,120.63265371322632,7.032319481753983,1808.65625,0.0876462531869338,35437687562.578514,404326326272
run_32_repetition_6,ondemand,home_timeline,high,ondemand_home_timeline_high,21.43,3391.8767089843823,556.63739013671875,2835.2393188476635,0,21.43,0,0.01271099124065612,71,90,130,170,121.2171733379364,6.268309809817154,1038.75,0.0877246536570924,35469386936.65574,404326326272
run_34_repetition_3,ondemand,compose_post,medium,ondemand_compose_post_medium,296.05,6212.217041015618,1366.7884521484375,4845.42858886718,9.78,69.75,216.52,0.00377371659951689,280,390,410,550,120.6505093574524,35.99788070177613,1034.15625,0.08767956790505016,35451157580.16529,404326326272
run_12_repetition_14,powersave,home_timeline,low,powersave_home_timeline_low,36.51,3260.8140869140625,484.6428833007813,2776.1712036132812,0,36.51,0,0.07389391378917295,13,17,17,18,121.36970710754396,7.47386216805851,799.59375,0.08771302433734342,35464684896.52459,404326326272
run_33_repetition_9,ondemand,compose_post,low,ondemand_compose_post_low,281.41999999999996,5818.416931152344,1312.2401733398438,4506.1767578125,6.69,54.53,220.2,0.01202381306174297,80,110,110,130,120.67038559913637,32.64846601360285,1109.25,0.08788978515108903,35536153946.975204,404326326272
run_49_repetition_6,schedutil,home_timeline,medium,schedutil_home_timeline_medium,27.41,3044.3845825195312,408.5974731445313,2635.787109375,0,27.41,0,0.01400460942758401,69,87,100,130,120.76502084732056,7.762095170172535,1697.96875,0.08798590611422087,35575018182.87603,404326326272
run_22_repetition_10,userspace,home_timeline,medium,userspace_home_timeline_medium,28.94,4214.4014892578125,1053.6293334960938,3160.7721557617188,0,28.94,0,0.01405316958207605,69,87,100,130,121.36595273017883,6.477027603409818,1090.59375,0.08802048009872804,35588997355.016396,404326326272
run_4_repetition_5,performance,home_timeline,medium,performance_home_timeline_medium,11.88,4506.419616699226,1116.4406738281325,3389.9789428710938,0,11.88,0,0.01406981784004945,69,88,100,130,120.73186802864076,3.317348136512701,2717.71875,0.08811007723646479,35625223836.56198,404326326272
run_15_repetition_12,powersave,compose_post,low,powersave_compose_post_low,397.91999999999996,4829.278869628906,1225.6879272460938,3603.590942382813,11,94.28,292.64,0.00685151753742064,140,180,190,190,121.34771847724916,54.60935127451162,799.59375,0.08800674107517927,35583442306.09836,404326326272
run_6_repetition_11,performance,compose_post,low,performance_compose_post_low,258.25,7298.7151489257885,2185.278198242195,5113.436950683594,5.94,70.38,181.93,0.0147933766934662,67,85,86,88,120.5082459449768,27.8685303921388,2719.40625,0.08814940013746352,35641123120.661156,404326326272
run_47_repetition_4,schedutil,media,high,schedutil_media_high,163.17,5293.633483886719,1272.3838500976562,4021.2496337890625,6.25,34.37,122.55,0.00530603797287158,160,250,290,700,121.56338953971864,21.12406974517908,1676.9375,0.08846636330228196,35769279672.65574,404326326272
run_18_repetition_7,userspace,media,low,userspace_media_low,327.5,6554.072509765654,2195.460876464844,4358.61163330081,8.86,88.01,230.63,0.07968602268314305,12,18,20,25,121.27903938293456,31.378878698245554,1261.375,0.08930017600539034,36106412099.70248,404326326272
run_21_repetition_5,userspace,home_timeline,low,userspace_home_timeline_low,27.33,5072.708068847642,1494.1649169921875,3578.543151855454,0,27.33,0,0.073981992539445,14,17,17,18,121.0717420578003,5.019871363782736,1250.21875,0.0896884846460401,36263415505.83607,404326326272
run_12_repetition_12,powersave,home_timeline,low,powersave_home_timeline_low,37.25,3210.935546875,441.2546997070313,2769.6808471679688,0,37.25,0,0.07371220647207619,14,17,17,18,121.3688142299652,7.489549953521031,799.78125,0.08966968015782026,36255812356.19672,404326326272
run_15_repetition_14,powersave,compose_post,low,powersave_compose_post_low,443.51,5054.5531005859375,1393.5205078125,3661.0325927734375,8.69,95.99,338.83,0.00672790696284164,150,180,180,180,121.35462164878844,56.582584113768135,799.90625,0.08974887671296908,36287833608.39344,404326326272
run_26_repetition_1,userspace,compose_post,high,userspace_compose_post_high,224.70999999999998,5299.18798828125,1551.6516723632812,3747.5363159179688,20.64,97.99,106.08,0.00118713946000792,770,1400,1500,1800,121.42297840118408,66.18453835555522,799.90625,0.089856631202566,36331401585.31148,404326326272
run_31_repetition_10,ondemand,home_timeline,medium,ondemand_home_timeline_medium,16.04,3131.6132202148438,393.01763916015625,2738.5955810546875,0,16.04,0,0.01394457538147474,70,88,110,130,120.86098170280457,5.695055119092924,1139.15625,0.08997774403055257,36380370690.1157,404326326272
run_23_repetition_14,userspace,home_timeline,high,userspace_home_timeline_high,25.76,3992.763183593721,998.370361328125,2994.392822265596,0,25.76,0,0.0125680094303941,72,90,130,170,121.84627103805542,9.825406319843452,913.375,0.08996711360137022,36376072527.7377,404326326272
run_48_repetition_7,schedutil,home_timeline,low,schedutil_home_timeline_low,32.24,3172.1707763671875,410.586669921875,2761.5841064453125,0,32.24,0,0.07421517596560988,13,17,17,18,120.6009395122528,7.154240212903535,1815.8125,0.09006262297798141,36414689483.10744,404326326272
run_3_repetition_12,performance,home_timeline,low,performance_home_timeline_low,15.63,5226.1014404296875,1522.473876953125,3703.6275634765625,0,15.63,0,0.07438365343929847,13,17,17,18,120.52819871902466,3.0795031027206448,2630.71875,0.08997437202027193,36379007297.58678,404326326272
run_40_repetition_11,conservative,home_timeline,medium,conservative_home_timeline_medium,37.19,3091.8538208007817,393.0316162109375,2698.822204589844,0,37.19,0,0.01399331681582413,69,87,100,130,120.91751289367676,7.624487329518698,957.65625,0.08998980900550493,36385248877.11475,404326326272
run_23_repetition_1,userspace,home_timeline,high,userspace_home_timeline_high,32.97,3164.0178833007812,395.561279296875,2768.4566040039062,0,32.97,0,0.01226878226643903,74,93,130,170,121.88663816452026,11.033647258842336,859.25,0.09002765505064014,36400551029.508194,404326326272
run_43_repetition_7,conservative,compose_post,medium,conservative_compose_post_medium,242.79000000000002,6075.516296386719,1380.7872314453125,4694.729064941406,10.96,60.31,171.52,0.0036646629413648,280,380,410,470,120.74775767326356,37.641327009189965,1026.96875,0.08991401466046622,36354603228.03306,404326326272
run_40_repetition_2,conservative,home_timeline,medium,conservative_home_timeline_medium,35.01,3060.3363037109375,382.997314453125,2677.3389892578125,0,35.01,0,0.013991206503582,69,88,110,130,120.91225028038023,7.716425014232269,1025.6875,0.09002877471238833,36401003738.22951,404326326272
run_27_repetition_9,ondemand,media,low,ondemand_media_low,163.88,5303.3444213866605,1365.4938354491896,3937.850585937471,5.72,50.18,107.98,0.06657995762466971,15,21,23,28,120.6539351940155,25.594853598039503,1064.1875,0.09024393768541009,36487999792.661156,404326326272
run_18_repetition_3,userspace,media,low,userspace_media_low,319.43,5083.071655273408,1236.5316162109084,3846.5400390625,11.51,93.06,214.86,0.07558465174115495,12,18,20,25,121.34756541252136,37.386294068585414,902.9375,0.09101994738651985,36801760944.2623,404326326272
run_4_repetition_8,performance,home_timeline,medium,performance_home_timeline_medium,14.63,4531.155822753892,1145.1342773437354,3386.021545410156,0,14.63,0,0.01378142582577494,70,89,110,140,120.74135112762453,3.457289726927507,2933.90625,0.09132207266904153,36923918149.818184,404326326272
run_45_repetition_10,schedutil,media,low,schedutil_media_low,157.66,5315.679138183594,1359.6336669921875,3956.0454711914062,6.72,37.47,113.47,0.06441769545942468,15,21,22,50,120.57421135902403,22.42501286055492,1742.75,0.09180972684147952,37121089569.85124,404326326272
run_44_repetition_12,conservative,compose_post,high,conservative_compose_post_high,187.26999999999998,5959.771667480483,1356.4943237304833,4603.27734375,8.1,52.54,126.63,0.00176059640444627,370,1200,1800,2200,120.77099585533142,36.94721772112261,941.46875,0.09202467391045996,37207998328.59504,404326326272
